254522;474008;78
254522;474008;19
474608;254522;60
470007;254522;101
167073;479904;17
471103;479904;90
419104;470007;90
254522;470007;62
254522;475509;14
254522;476003;91
476003;470007;24
470007;254522;36
462405;254522;49
462405;470007;129
477608;254522;38
478102;477608;80
254522;167073;88
254522;464504;105
464504;470007;88
254522;464504;84
254522;466603;8
167073;451100;111
470007;464504;75
466603;416708;8
442806;254522;65
482004;254522;114
452009;451100;25
441606;452009;98
456033;452009;53
456404;456809;44
456809;254522;18
254522;254522;37
254522;467108;24
467108;466603;39
414100;254522;46
254522;254522;63
254522;467108;23
451100;466603;167
474008;254522;78
474008;254522;19
254522;474608;60
254522;470007;101
479904;167073;17
479904;471103;90
470007;419104;90
470007;254522;62
475509;254522;14
476003;254522;91
470007;476003;24
254522;470007;36
254522;462405;49
470007;462405;129
254522;477608;38
477608;478102;80
167073;254522;88
464504;254522;105
470007;464504;88
464504;254522;84
466603;254522;8
451100;167073;111
464504;470007;75
416708;466603;8
254522;442806;65
254522;482004;114
451100;452009;25
452009;441606;98
452009;456033;53
456809;456404;44
254522;456809;18
254522;254522;37
467108;254522;24
466603;467108;39
254522;414100;46
254522;254522;63
467108;254522;23
466603;451100;167
